ID,Coordinates,500,1000,1500,2000,2500,500,1000,1500,2000,2500,500,1000,1500,2000,2500,50,100,150,200,250,500,1000,1500,2000,2500
73,"40.6763, -73.9095",1,6,11,18,23,1421,6698,12094,15642,22718,23.1071,94.4107,206.613,403.679,695,0,4,3,4,4,9,519,949,1757,2673
74,"40.6775, -73.8988",3,8,9,16,26,2967,6630,11275,15401,23260,23.506,64.2917,127.935,251.333,441.643,0,0,103,109,111,335,482,716,1288,3562
75,"40.6772, -73.8971",3,7,10,13,25,2258,6594,11062,15165,23294,23.6845,59.744,118.315,224.554,391.018,4,1,95,99,114,211,479,756,1228,3465
76,"40.8397, -73.8716",4,7,10,17,24,1804,6708,14832,25247,43185,25.1786,71.506,148.56,250.494,356.071,0,0,0,14,14,70,386,1043,1639,2354
77,"40.8234, -73.8788",1,3,5,14,16,4247,9908,19068,39322,56892,25.4762,117.375,220.923,367.53,485.571,0,1,0,0,0,19,93,570,1263,1777
78,"40.8346, -73.8661",4,8,12,15,22,886,5674,18072,30956,51517,25.9524,72.4464,150.595,226.125,310.03,0,3,0,1,44,279,652,1133,1470,1905
79,"40.6569, -74.0049",3,6,7,10,19,10053,13214,18198,27109,35131,26.119,61.6548,202.571,479.327,1054.57,0,1,10,36,128,268,347,525,1242,2232
80,"40.8398, -73.8739",3,7,12,16,27,3054,6599,15029,25523,43538,27.3988,63.4167,157.208,265.482,390.81,0,2,14,14,64,113,282,1037,1574,2343
81,"40.8552, -73.9014",1,4,10,16,19,928,5076,12366,23351,34078,27.6964,105.863,227.268,411.768,677.125,0,1,17,19,35,151,405,1082,1609,3212
82,"40.6562, -74.0024",4,6,7,11,19,1892,13130,17175,26089,35471,28.0833,73.2202,232.464,512.321,1062.7,1,1,2,2,6,220,369,554,1412,2517
83,"40.8599, -73.903",1,3,7,17,21,404,5055,13854,23695,33368,30.9762,93.0774,218.143,434.411,686.375,1,6,6,8,10,148,640,1152,2463,3351
84,"40.6576, -74.001",3,7,7,13,19,2043,13282,17494,26486,34737,33.1726,111.732,306.571,682.929,1293.1,0,22,2,3,11,90,372,637,1486,2539
85,"40.6769, -73.9217",2,7,9,18,23,887,3213,8075,14973,22602,34.5655,138.81,370.06,710.173,1300.69,1,0,4,8,67,157,398,985,2843,3890
86,"40.677, -73.9223",3,7,8,18,23,968,3133,7348,14840,22616,35.0595,140.31,379.202,734.083,1378.43,4,2,4,50,69,142,398,926,2919,3917
87,"40.8452, -73.9023",4,6,9,13,22,2109,5391,11284,21796,36290,35.6905,129.357,296.44,486.887,861.732,0,0,2,4,14,41,180,487,1365,2506
88,"40.8371, -73.927",4,5,8,16,26,1373,4414,10001,18830,27693,36.7976,377.393,1639.47,3108.74,4525.13,0,0,11,11,11,30,554,2357,4107,5520
89,"40.8474, -73.9011",3,6,9,14,23,1869,5417,10945,21276,36886,37.5893,116.923,266.333,459.488,736.536,22,20,22,23,24,48,266,533,1338,2505
90,"40.8705, -73.9151",2,6,8,11,15,2253,7841,13247,18754,26170,38.3095,113.155,271.714,399.226,555.321,2,109,24,46,48,211,903,1456,2360,3129
91,"40.6958, -73.9054",1,2,3,7,18,999,2728,5495,12484,24155,38.869,159.417,461.595,947.006,1648.38,0,0,0,5,7,36,230,496,1253,2752
92,"40.8459, -73.902",4,6,8,13,23,2112,5305,10763,21402,36481,41.5536,127.935,289.19,481.452,818.333,1,6,2,3,26,43,193,510,1518,2449
93,"40.8224, -73.8857",1,4,4,7,16,2693,10936,17328,38363,63793,41.6607,158.786,280.315,422.28,605.452,0,1,4,4,4,35,333,552,973,1801
94,"40.8167, -73.8924",1,2,3,7,8,1575,9694,23263,39979,60129,42.7619,172.399,308.988,502.685,733.839,7,3,8,16,18,50,300,688,985,1372
95,"40.8268, -73.9094",2,2,4,10,25,3068,8475,15402,26462,48255,44.1548,144.399,473.19,985.006,1979.82,0,0,0,3,4,38,812,1861,2249,2734
96,"40.8283, -73.8824",1,3,8,13,20,1484,7399,18768,29401,52868,44.2262,138.161,277.179,406.625,554.821,0,0,1,1,2,43,366,632,1176,1958
97,"40.6641, -73.9485",2,3,5,16,24,621,3964,7748,12462,17668,44.7917,179.756,537.238,966.411,1843.85,5,5,56,71,117,187,567,1242,2637,3967
98,"40.6593, -73.9955",1,6,7,14,21,810,4221,17058,24465,33895,47.5952,236.048,523.994,994.435,1777.49,0,4,1,4,44,71,304,1068,1680,3035
99,"40.6773, -73.928",4,5,9,16,25,1191,3178,6261,11961,22335,47.8214,167.44,440.786,1007.06,1917.15,0,1,1,1,1,199,552,1322,2790,4325
100,"40.7607, -73.8622",1,5,7,9,11,634,5602,15884,35627,53644,50.6071,754.435,2865.12,6245.04,8880.08,0,5,1,1,1,63,274,787,1864,2402
101,"40.8246, -73.9105",2,2,4,10,26,2512,8866,15339,27332,50175,53.4107,189.131,522.935,1077.51,2265.02,1,24,6,23,24,171,910,1811,2217,2777
102,"40.6637, -73.9543",2,3,5,16,21,899,3323,6855,11912,17642,53.4702,303.155,530.22,1260.15,2295.12,0,94,4,5,12,71,495,1723,2861,4036
103,"40.6774, -73.9302",3,5,9,15,25,1042,2910,6093,11178,22028,55.8393,189.423,468.006,1144.74,2128.68,0,0,0,2,102,148,522,1498,2817,4357
104,"40.6775, -73.9327",3,6,9,14,26,1500,2675,5655,11149,21339,55.9464,219.304,553.298,1323.24,2387.17,0,4,0,0,4,130,566,1630,2892,4348
105,"40.8407, -73.9283",2,5,9,13,24,795,3578,7819,14431,25446,58.9405,594.524,1893.39,2930.13,4009.67,0,15,0,4,5,23,400,2740,3642,5403
106,"40.8665, -73.9175",5,6,7,10,17,2210,6144,12052,16848,24282,63.4226,180.988,313.958,497.036,898.708,0,3,8,15,25,522,910,1518,2405,3346
107,"40.8641, -73.918",3,5,7,12,19,2631,6101,10786,16611,24818,64.75,186.238,358.714,598.339,1170.43,0,2,34,34,39,178,904,1601,2603,3431
108,"40.8631, -73.9205",4,5,6,11,16,2389,5592,9700,15277,22011,65.4405,215.411,381.47,737.53,1320.1,0,6,1,18,39,176,999,1382,2491,3308
109,"40.6992, -73.9143",1,2,3,9,13,1182,3187,6998,18657,32082,66.9881,277.452,888.625,1718.2,2632.45,0,16,6,9,64,148,384,1412,2219,3293
110,"40.835, -73.924",3,4,7,20,28,1769,3884,12356,21573,30862,76.869,361.131,1071.08,2676.07,4562.42,0,1,0,0,24,50,1037,1530,3734,5585
111,"40.8367, -73.9215",3,4,8,16,27,1685,4445,11678,21767,30807,81.8274,233.917,763.232,2195.78,3810.99,0,5,16,18,24,66,520,1437,3267,5239
112,"40.8671, -73.9228",3,5,6,10,15,588,4659,9415,14603,20608,84.006,226.321,319.417,513.833,1001.46,45,22,167,296,331,640,1012,1471,2131,3189
113,"40.8474, -73.9125",2,5,8,16,26,912,3601,9805,19168,30418,86.506,210.94,358.22,960.339,1841.04,3,0,24,26,27,74,268,568,1719,4298
114,"40.73, -73.862",1,1,1,2,2,864,3666,7070,11371,20226,88.244,373.369,634.202,1057.78,1529.58,37,1,108,136,138,283,819,1042,1660,2719
115,"40.8457, -73.9138",2,4,11,15,25,867,4068,10294,18916,30635,93.631,223.619,448.173,1035.99,2165.91,2,1,8,19,25,64,198,789,1743,3889
116,"40.7618, -73.8681",1,6,8,10,12,273,4397,12554,25657,50469,94.3333,1637.51,6068.69,8678.43,12299.5,0,0,3,3,7,44,264,1360,1845,2607
117,"40.7126, -73.8976",1,2,3,6,7,1393,4754,8209,21427,32294,97.756,309.625,826.464,1473.14,2037.43,0,3,2,4,29,46,139,382,649,1039
118,"40.6616, -73.9613",1,2,6,9,22,786,2073,6159,11319,16448,111.208,231.101,606.125,1275.07,2460.34,4,1,51,61,64,104,691,1588,3245,4560
119,"40.7571, -73.8703",1,4,9,12,15,688,1869,8904,25399,46616,114.333,418.845,2032.12,8946.33,13146.1,0,0,0,1,2,13,234,688,1953,3043
120,"40.7633, -73.8771",2,6,10,13,17,1480,5793,15801,23314,31827,122.464,3046.4,10306.4,13190.1,16948.8,2,0,10,12,12,46,274,1364,1920,2446
121,"40.6781, -73.9439",2,4,8,14,27,621,2613,5531,11934,24215,126,506.202,1082.31,2045.7,3921.32,0,8,38,44,82,151,758,1803,3084,5088
122,"40.7129, -73.9052",1,2,2,5,9,1876,4362,15017,29073,40727,139.083,453.268,893.78,1684.46,2500.18,0,12,3,3,4,49,68,283,767,1199
123,"40.6645, -73.9972",1,4,10,12,19,1943,6164,20390,29701,37820,142.411,391.589,865.708,1661.26,2725.46,1,11,2,2,5,82,447,1335,2003,3128
124,"40.6782, -73.9446",2,3,9,14,27,494,2509,5550,12262,24144,146.208,527.429,1140.99,2157.14,4029.9,8,10,11,30,90,216,779,1779,3154,5113
125,"40.8203, -73.9265",2,7,11,20,24,1933,9006,17414,28629,42539,165.94,732.518,1806.98,3772.75,9207.55,0,1,4,12,16,63,969,1792,4176,6606
126,"40.764, -73.881",4,4,10,15,16,2924,7253,17407,26380,32573,203.19,4954.2,11536,15376.3,18594.1,0,1,0,0,5,64,290,1349,1883,2541
127,"40.6797, -73.9579",4,4,6,11,24,1088,3442,7786,13474,24751,209.256,1043.72,2505.79,4517.46,7348.79,0,20,2,14,23,178,829,2445,4446,6084
128,"40.7053, -73.9272",1,4,8,14,18,1601,7184,15724,29148,41983,227.06,712.262,1853.99,3213.74,8190.73,0,4,21,34,46,275,634,2193,3529,5376
129,"40.821, -73.9376",4,8,11,18,26,1754,6911,13787,23395,32017,241.286,1378.88,3873.66,7368.72,11659.2,1,7,14,17,18,185,1111,3130,5891,7690
130,"40.8208, -73.937",4,9,12,18,26,1717,7305,14225,23599,32720,248.185,1296.19,3655.67,7462.31,11947.7,2,3,11,18,18,158,799,3238,5860,7573
131,"40.8193, -73.93",3,9,13,19,26,2468,8481,16083,26717,40020,251.22,937.988,2254.84,5644.55,11242.1,1,0,1,1,10,69,393,1771,5430,7219
132,"40.68, -73.959",3,4,6,13,24,1000,3537,8533,13706,25274,254.923,1042.37,2705.52,4864.73,7590.05,0,0,2,7,33,164,842,2529,4439,6172
133,"40.8044, -73.9217",3,4,8,10,15,1706,10140,21694,34531,49553,256.988,2499.39,4461.98,7174.76,10503.3,5,1,45,46,48,58,215,1185,2374,3894
134,"40.755, -73.8907",2,5,9,12,15,798,3726,11567,24165,35687,257.464,1968.93,8601.48,15148.2,21807.2,2,13,5,5,17,75,478,1304,2013,3771
